netnodstocb|avoid_v4|allow_v4|prepend_v4|blackhole_v4|avoid_v6|allow_v6|prepend_v6|blackhole_v6
ixbr|836|410|106|28|103|36|0|0
decix|317|155|202|109|71|28|135|11
linx|184|79|139|77|9|5|0|0
amsix|187|85|86|51|0|0|8|1
decixmad|42|25|16|5|6|2|7|0
decixnyc|60|40|24|10|9|3|16|1
bcix|18|13|5|2|0|0|1|0
netnodstocb|48|29|15|15|2|2|6|1
