netnodstocb|avoid_v4|allow_v4|prepend_v4|blackhole_v4|avoid_v6|allow_v6|prepend_v6|blackhole_v6
ixbr|861|448|113|37|107|46|0|0
decix|332|160|207|111|72|27|136|11
linx|187|86|140|81|10|6|0|0
amsix|180|84|80|48|0|0|10|1
decixmad|41|25|15|6|4|2|5|0
decixnyc|60|40|22|10|10|3|15|1
bcix|19|13|5|2|0|0|1|0
netnodstocb|47|29|16|15|3|2|9|1
