netnodstocb|avoid_v4|allow_v4|prepend_v4|blackhole_v4|avoid_v6|allow_v6|prepend_v6|blackhole_v6
ixbr|813|447|106|37|98|44|0|0
decix|329|158|203|109|72|29|139|11
linx|189|84|142|82|10|6|0|0
amsix|178|85|80|48|0|0|10|1
decixmad|40|25|15|6|4|2|4|0
decixnyc|58|38|22|10|10|3|17|1
bcix|19|13|5|2|0|0|1|0
netnodstocb|46|28|15|14|3|2|7|1
