ixbr|6939,37468,7195,61832,28368,28343,263009,267469,53181,28158,263444,28642,263073,268976,28173,268696,36236,53065,262669,16397,265144,52696,262360,262317,265269,52579,61589,263327,266551,269096,262983,265187,266414,264872,52655,28178,14868,61591,28201,267016,53115,262493,264186,28244,263124,267203,262973,267619,268235,13786,263144,268982,266037,16552,61580,262760,265936,28008,265188,264293,262659,264367,265937,53019,53089,262287,262765,28126,28202,263649,262302,266388,269311,262403,262777,265442,266460,268895,52980,262632,262734,262773,268106,268207,268920,28165,263394,61785,57695,61584,264552,52637,262288,60068,262966,264500,266995,262355,264595,268267,52689,268817,52694,262589,262742,265080,267201,28124,28634,262828,263089,264460,264863,266247,266275,268732,269351,61595,61704,262900,264228,267299,28225,52935,53075,53096,53218,262420,262675,262794,263586,263934,263985,264461,264992,266022,266131,266322,267470,269385,270285,35280,53070,263415,265274,267649,268581,269033,22356,23106,28125,52944,262819,263405,264397,265141,268192,268344,268478,28571,28654,52777,52988,53143,61568,263445,263990,264949,266360,266448,267096,267522,268243,268645,268795,10733,15133,28191,52320,52848,61823,61890,262409,263055,263292,263641,263998,265098,266003,267009,268311,268538,270522,52545,61764,262732,262901,263032,263290,263528,263906,264147,265158,265914,266143,266610,267326,267585,268126|333536,20268,2667,2295,1938,1172,1104,965,844,591,432,333,321,266,168,156,152,149,146,139,136,125,120,116,108,103,102,102,90,78,72,67,66,65,60,57,54,54,45,44,42,42,39,36,36,36,32,32,32,30,30,30,29,28,28,28,28,27,26,25,24,24,24,23,23,23,23,22,22,22,21,21,21,20,20,20,20,20,18,18,18,18,18,18,18,16,16,15,14,14,14,13,13,12,12,12,12,11,11,11,10,10,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1|371130
decix|6939,20764,20485,35280,57463,29076,13237,50384,28917,12713,263009,24482,3303,53180,53264,3462,59605,13786,24961,22356,2914,55818,200612,5413,50581,25291,36236,12779,31027,265269,8422,2635,48362,34224,13249,50629,34309,63927,8647,9318,56665,9381,9031,15598,8932,47622,48918,8648,30844,48166,559,9136,30781,48200,39122,25160,5539,14061,3214,39702,39912,34549,44020,208722,199284,28202,12732,8893,20811,37271,137409,20473,47626,57695,41114,34872,206892,59624,207701,12731,13124,24724,38193,49544,62275,24940,3216,6735,59947,15743,35661,20676,25091,38195,198290,16024,12531,20647,35320,47147,59890,61832|289464,84084,29196,7184,6628,5656,4380,3440,2166,2136,736,720,621,552,544,500,494,490,477,443,344,192,187,160,156,148,135,135,122,104,104,92,80,75,64,62,58,53,51,48,48,42,40,38,38,38,36,33,32,32,26,24,24,22,21,21,20,20,18,18,17,16,16,15,14,12,12,11,10,9,8,8,8,8,6,5,5,5,4,4,4,4,4,4,4,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1|443111
linx|6939,57463,24482,35280,37468,4134,3216,37100,13786,9505,36236,263009,39533,36351,3303,12779,8896,34309,6774,3170,63927,8473,47622,2635,32934,9116,9381,58511,31500,49544,16552,25160,29017,50629,57695,8932,20764,30781,47638,59624,6894,20473,35826,31708,50245,30931,14061,39537,12969,34549,42044,43404,12931,24940,38195,44684|388256,19136,9196,7946,5418,3972,2734,1450,1389,938,917,874,571,396,207,162,154,120,118,112,108,106,88,86,72,54,46,44,32,30,28,21,21,21,20,19,16,14,12,10,9,9,9,8,7,6,4,3,3,3,3,3,2,1,1,1|444986
amsix|6939,52320,37468,57463,13237,24961,28598,35280,12552,8359,34549,42861,263009,55818,8220,3303,64049,24482,36236,50581,15576,1764,8732,2635,53264,35000,15967,48362,29208,47622,50384,8368,56665,9381,39351,8953,16097,8647,56630,559,8262,199524,8932,49544,59947,41913,13101,14061,29791,196844,12496,51468,8462,199408,20764,5404,50629,54825,50673,62166|263608,15026,9652,6380,4671,4576,3042,2752,2240,2176,2063,1692,945,686,417,340,264,220,192,165,156,146,126,102,93,90,87,80,68,58,56,51,48,48,44,42,30,18,14,13,10,10,8,5,4,4,4,4,3,2,2,2,2,2,1,1,1,1,1,1|322545
decixmad|6939,35280,13786,39386,34549,12430,39020,47787,36236,32934,16276,2635,57695,25091,49544|288596,8308,1371,870,738,112,45,42,41,32,20,16,9,2,1|300203
decixnyc|6939,52320,35280,20764,34549,8359,263444,8966,53264,22356,3303,39386,396356,50629,32934,2635,12883,28202,50304,52777,49544,14061,25091,23393|367875,12564,8019,3450,3306,1274,952,834,544,447,207,68,52,46,38,28,17,16,12,9,5,4,2,1|399770
bcix|6939,13237,48173,204786,50629,32934,199284|386091,5642,72,72,67,32,31|392007
netnodstocb|6939,20764,12552,31027,3303,24482,16086,2635,32934,36351,12996,49544,24940,63927,12496|431880,92465,1362,780,621,166,48,20,16,10,5,5,3,3,2|527386
