ixbr|6939,37468,61832,28368,263009,267469,53181,36236,28343,263444,28158,28642,263073,268976,28173,262317,268696,53065,262669,16397,7195,262360,52655,263327,61589,52579,52696,266551,265269,269096,28178,264186,262983,265144,265187,266414,264872,262493,61591,14868,53202,28244,267016,53115,262302,264595,263124,267203,262760,268235,263144,268982,267619,16552,61580,265936,13786,28008,28201,262403,264293,262659,264367,265937,268106,28126,28202,53019,262765,265188,53089,266388,269311,262777,262973,263649,268895,264112,266460,52980,262632,262734,262773,268920,265080,268207,270267,265442,52944,61584,264552,262355,28263,60068,262288,262966,264500,266995,267470,28165,52689,52694,268817,53075,262742,264949,267201,28124,28634,61785,262819,262828,263089,264460,264863,266247,266275,266322,268267,268732,269351,61595,61704,262900,264228,265438,267299,28125,28225,52935,53096,53218,61317,61751,262420,262675,262794,263586,263934,263985,264461,264992,265207,266131,270285,35280,53070,265274,268581,269033,22356,23106,262496,263405,263415,263445,264397,265141,267522,268192,268344,268478,28571,28654,52777,61568,262287,263990,266360,267096,268243,268645,268795,10733,15133,52320,52848,52988,53143,61823,61890,262409,263055,263641,263998,265098,266448,267009,268311,268359,268538,28272,52545,52888,61666,61764,262589,262732,262901,263032,263290,263528,263906,265158,265914,266143,266438,266610,267326,267585,268126,268345|328692,18163,2322,2019,1100,965,834,704,582,520,486,333,318,252,232,172,156,149,146,134,132,125,114,113,109,107,100,90,86,86,84,78,72,68,67,66,65,61,54,51,48,45,44,42,42,42,38,36,32,31,30,30,29,28,28,28,27,27,27,25,25,24,24,24,24,22,22,22,22,22,21,21,21,20,20,20,20,19,19,18,18,18,18,18,17,16,16,15,14,14,14,13,12,12,12,12,12,12,12,10,10,10,10,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1|361892
decix|6939,20764,20485,35280,57463,29076,13237,24482,50384,12713,28917,263009,3303,53264,3462,59605,22356,24961,53180,2914,55818,200612,5413,50581,25291,36236,12779,31027,8422,2635,265269,48362,34224,13249,34309,63927,9318,48200,9381,9031,15598,8932,47622,8647,48918,8648,56665,30844,48166,50629,39912,559,30781,9136,39122,25160,39702,5539,14061,3214,34549,44020,208722,199284,12732,8893,28202,20811,37271,137409,15672,20473,57695,41114,34872,206892,59624,207701,12731,13124,24724,38193,49544,62275,24940,3216,6735,59947,15743,35661,20676,25091,38195,198290,16024,12531,20647,35320,47147,59890,61832|246054,84227,28890,7351,6777,5679,4380,4329,3270,2112,2071,768,690,544,500,494,491,477,405,326,190,187,150,143,142,135,135,122,104,92,82,80,75,64,58,53,52,44,42,40,38,38,38,36,36,33,33,32,32,31,30,26,24,22,21,21,20,20,20,18,16,16,15,14,12,11,10,10,9,8,8,8,8,6,5,5,5,4,4,4,4,4,4,4,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1|402614
linx|6939,57463,24482,35280,37468,4134,3216,37100,9505,36236,263009,39533,36351,12779,8896,3303,6774,34309,3170,63927,8473,2635,47622,32934,9116,58511,9381,31500,49544,16552,25160,29017,50629,57695,8932,20764,47638,30781,59624,6894,35826,31708,50245,30931,14061,39537,12969,34549,42044,43404,25061,8544,12931,24940,38195,44684|394224,20517,8712,7946,5057,3897,2602,1782,934,917,912,582,396,162,154,138,134,120,115,108,106,86,84,72,54,47,46,30,29,28,21,21,21,20,19,16,15,14,10,9,9,8,7,6,4,3,3,3,3,3,2,2,2,1,1,1|450215
amsix|6939,52320,37468,57463,24961,13237,28598,35280,12552,8359,34549,42861,263009,55818,24482,8220,3303,64049,36236,50581,1764,15576,8732,2635,35000,53264,39351,15967,48362,29208,47622,50384,8368,9381,56665,8953,16097,8647,56630,559,58511,8262,199524,8932,49544,59947,41913,13101,14061,29791,196844,12496,51468,8462,199408,20764,5404,50629,54825,50673,62166|264768,14982,9795,6671,4929,4644,3068,2860,2220,2159,1887,1728,987,679,568,419,340,264,192,165,151,140,126,102,100,93,91,85,80,69,58,56,51,48,44,42,31,16,14,13,11,10,10,8,5,4,4,4,4,3,2,2,2,2,2,1,1,1,1,1,1|324814
decixmad|6939,35280,34549,39386,12430,47787,39020,36236,32934,16276,2635,57695,25091|286545,7991,1051,868,104,48,45,41,32,20,16,9,2|296772
decixnyc|6939,52320,35280,20764,34549,8359,263444,8966,53264,22356,3303,39386,396356,32934,2635,12883,28202,50304,49544,14061,25091,23393|368118,12468,7990,3226,1581,1268,1000,819,544,503,207,68,52,38,28,17,16,12,5,4,2,1|397967
bcix|6939,13237,48173,204786,50629,32934,199284|395307,5642,72,72,67,32,31|401223
netnodstocb|6939,20764,12552,24482,31027,3303,16086,2635,32934,36351,12996,24940,63927,12496|432800,93832,1356,966,786,621,48,20,16,10,5,3,3,2|530468
