ixbr|6939,37468,18881,61832,28368,263009,53087,267469,53181,28158,268976,263444,263073,28173,28343,262669,53065,262360,268696,52696,28642,36236,52579,28573,61589,263327,7195,262317,265269,269096,52655,262532,262973,266414,264872,28178,53115,61591,262983,14868,262773,28201,265187,28244,267016,263124,268235,52742,266131,267203,268982,264186,264293,265937,264162,267619,13786,266037,16552,61580,262760,264367,265936,28008,53019,265188,53089,28329,262659,262765,28126,262287,263144,263649,52980,262302,265442,266460,268895,16397,28171,57695,262777,28202,262808,266130,268920,52637,52795,262288,262734,263906,266995,268207,52944,61584,264552,28263,60068,262420,262966,264500,268267,61568,265144,266551,28165,268817,28634,52694,52817,262632,262742,265080,267201,28124,52689,262828,263089,264863,266275,268732,269351,264228,266388,267299,28225,28264,52935,53075,53096,53152,61785,262675,262794,263405,263934,264461,266022,267470,269385,270285,35280,53070,263415,263998,265274,266003,267649,269033,270594,22356,28125,28323,61751,263055,263267,263445,263661,264397,264460,265141,267368,268344,268478,268581,28571,28654,52777,262901,263586,263640,263985,263990,264949,264992,266448,267326,268243,268311,268645,268795,270522,270795,15133,23106,28191,28272,52848,52988,53143,61823,61890,262409,262589,262740,262819,263569,263641,265098,267009,267522,268359,268538,268561,270340,52320,52545,52580,52888,57463,61764,262428,263290,263528,265158,265369,265914,266143,266610,267585,268126,268345|338905,21520,4199,3188,2608,950,939,760,614,537,530,461,327,301,284,210,206,195,192,165,153,120,119,108,106,104,98,98,98,88,78,76,75,66,65,60,57,54,54,50,49,45,45,44,44,41,37,36,36,36,36,34,34,34,32,32,30,29,28,28,28,28,28,26,26,26,25,24,24,23,22,22,22,22,21,21,21,21,21,20,20,20,20,18,18,18,18,17,17,16,16,16,16,16,14,14,14,12,12,12,12,12,12,11,11,11,10,10,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1|380896
decix|6939,20764,20485,13786,57463,35280,29076,13237,50384,28917,12713,24482,24961,3303,53264,29226,53180,3462,22356,59605,2914,263009,50629,55818,200612,50581,5413,36236,25291,12779,31027,8422,9318,265269,2635,3214,48362,34224,63927,13249,34309,8647,9381,9031,8932,48918,8648,15598,48166,30844,48200,9136,47622,25160,28202,559,56665,39702,39122,5539,14061,208722,34549,39912,44020,60294,206892,199284,12732,8893,20811,30781,137409,37271,20473,47626,57695,12577,41114,34872,59624,207701,12731,13124,24724,38193,49544,62275,3216,199330,35661,24940,34927,6735,59947,15743,25091,198290,16024,12531,20647,33986,29467,47147,58299,59890,61832|251442,82626,28476,12510,7789,7528,5954,4480,3799,2440,1144,1130,732,680,646,546,520,504,491,490,472,420,288,192,187,180,160,157,154,140,124,108,98,94,92,88,80,78,78,64,64,48,46,40,38,38,33,32,32,29,29,28,26,25,24,24,24,22,21,20,20,18,18,17,16,16,15,14,14,10,10,10,9,9,8,8,8,6,6,5,5,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1|418127
linx|6939,13786,57463,35280,37468,4134,3216,24482,37100,36236,9505,263009,36351,18106,63927,50629,8896,34309,3170,12779,8473,6774,2635,47622,32934,9116,9381,58511,31500,49544,16552,20764,25160,8932,29017,47638,57695,20473,56665,59624,6894,35826,31708,34549,50245,30931,14061,39537,12969,42044,43404,25061,12931,328303,24940,44684|394616,32292,19607,8088,5800,4001,2691,2340,1190,1171,861,551,520,270,160,134,132,128,122,112,110,98,86,78,72,54,50,50,36,31,28,25,25,21,21,15,15,11,11,10,9,9,8,7,7,6,4,3,3,3,3,2,2,1,1,1|475702
amsix|6939,37468,52320,13786,24961,38082,57463,13237,28598,35280,12552,8359,34549,42861,55818,263009,3303,1764,24482,64049,36236,50581,15576,36351,31027,8732,2635,39351,35000,50384,15967,48362,29208,9381,8368,9318,8953,56665,47622,58511,8647,16097,50629,8262,199524,56630,559,20473,60294,8932,13101,49544,59947,41913,14061,29791,196844,51468,8462,47147,20764,5404,54825,50673,199408,62166|276512,10266,10219,7888,6160,5925,5295,4956,3822,2924,2673,2520,2210,1530,931,616,335,290,270,264,250,210,176,151,125,119,114,96,90,87,86,80,68,54,51,50,48,48,40,39,36,32,32,14,14,14,12,10,10,8,6,5,4,4,4,3,2,2,2,1,1,1,1,1,1,1|347809
decixmad|6939,13786,35280,12479,39386,34549,12430,47787,36236,32934,16276,2635,57695,25091,49544|293230,30590,8501,4760,874,723,92,54,49,32,20,16,9,2,1|338953
decixnyc|6939,13786,52320,35280,20764,34549,8359,263444,8966,53264,22356,50629,3303,396356,32934,2635,21385,14340,28202,6079,50304,49544,14061,25091,23393|376992,27149,14292,8404,3466,3357,1412,1028,843,608,487,205,204,40,38,28,18,15,14,12,12,5,4,2,1|438636
bcix|6939,13237,50629,48173,204786,32934,199284|397521,5824,226,72,72,32,31|403778
netnodstocb|6939,20764,12552,31027,3303,24482,16086,2635,32934,36351,12996,49544,24940,63927,12496|437660,92006,1764,792,612,234,48,24,16,10,5,5,3,3,2|533184
