ixbr|6939,37468,61832,28368,28343,267469,263009,53087,53181,28158,263444,263073,268976,264297,53065,28173,268696,36236,262669,265144,262317,262360,7195,61589,263327,52579,28642,265269,266551,269096,14868,28573,52655,266414,264872,28178,265187,61591,262983,28201,267016,53115,265937,262847,264186,263124,28244,262973,267203,267619,268235,264162,13786,262773,268982,264293,16552,61580,262659,262760,263144,265936,265188,28008,53089,263649,264367,262765,28126,262288,262302,53019,262403,262493,262777,266460,268895,269311,28165,28202,52980,262287,262632,262734,262808,268106,268207,268920,52795,263906,16397,263394,52944,57695,61584,264552,266388,28263,60068,262966,264500,264595,266131,266995,262355,268267,52689,268817,52694,262742,265080,28124,28634,61785,262828,263089,264863,266275,268732,269351,61595,262900,264228,265438,267299,28125,28225,52935,53075,53096,53218,262420,262675,262794,263586,263934,263985,264461,264992,266022,266322,267470,269385,35280,53070,263415,264460,265274,267649,268581,269033,270594,22356,23106,61751,262819,263405,264397,265141,267368,268192,268344,268478,28571,28654,52777,52988,61568,263990,264949,266360,266448,268243,268311,268645,268795,10733,15133,28191,28272,52320,52848,53143,61704,61823,61890,262409,262589,262740,263055,263641,263998,265098,266003,267009,267522,268359,268538,270522,52545,61764,262732,262901,263290,263528,265158,265369,265914,266143,266610,267034,267326,267585,268126,268345,268561|337533,18628,2307,1956,1264,1005,941,877,596,591,422,306,266,234,176,174,160,152,146,145,124,120,116,102,101,100,99,96,90,90,83,81,78,66,65,60,59,54,54,45,44,42,42,41,39,37,36,36,36,32,32,31,30,30,30,29,28,28,28,28,28,28,26,25,25,24,24,23,22,22,21,20,20,20,20,20,20,19,18,18,18,18,18,18,18,18,18,18,17,17,16,16,14,14,14,14,14,12,12,12,12,12,12,12,11,11,10,10,9,9,9,8,8,8,8,8,8,8,8,8,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1|371523
decix|6939,20764,20485,13786,35280,57463,29076,13237,50384,28917,12713,24482,263009,3303,53264,3462,59605,24961,53180,22356,2914,55818,200612,50581,50629,5413,36236,25291,12779,265269,31027,8422,2635,48362,34224,8647,13249,34309,63927,9381,8932,9031,47622,15598,48918,56665,8648,48166,30844,559,9136,30781,48200,39122,25160,39702,5539,14061,20811,3214,39912,208722,34549,44020,199284,12732,8893,28202,37271,20473,47626,57695,12577,41114,34872,206892,59624,137409,207701,12731,13124,24724,38193,49544,62275,3216,24940,34927,6735,59947,15743,35661,20676,25091,38195,198290,16024,12531,20647,35320,47147,59890,61832|290745,85228,20232,10944,7356,7155,6044,4520,3486,2457,1140,930,782,748,612,500,494,480,470,431,395,192,187,180,164,160,157,148,140,138,121,108,92,80,75,72,66,60,56,45,40,40,40,38,38,36,33,32,29,26,26,24,22,21,21,20,20,20,20,18,17,17,16,16,14,12,11,10,10,8,8,8,7,6,5,5,5,4,4,4,4,4,4,4,4,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1|448191
linx|6939,13786,57463,35280,37468,4134,3216,24482,37100,9505,36236,263009,39533,36351,3303,18106,8896,34309,6774,63927,3170,12779,8473,47622,2635,32934,50629,9116,9381,58511,31500,49544,16552,25160,8932,20764,47638,30781,29017,57695,59624,6894,20473,35826,31708,50245,30931,14061,39537,12969,34549,42044,43404,25061,12931,24940,38195,44684|390672,27882,20582,7899,5087,4069,2878,1805,1450,937,921,874,600,396,272,270,138,124,120,120,116,112,108,82,78,72,71,54,49,44,31,30,28,21,20,18,15,14,14,14,10,9,9,9,8,7,6,4,3,3,3,3,3,2,2,1,1,1|468171
amsix|6939,52320,37468,57463,13786,24961,13237,28598,35280,12552,8359,34549,42861,263009,55818,8220,3303,64049,24482,36236,50581,15576,1764,8732,53264,2635,35000,15967,48362,29208,47622,50384,9381,8368,39351,8953,56665,50629,16097,8647,56630,559,199524,8932,8262,49544,59947,41913,13101,14061,29791,196844,12496,51468,8462,199408,20764,5404,54825,50673,62166|266752,15367,9451,6982,5296,5252,4860,3692,2752,2370,2244,2154,1746,924,777,414,335,265,208,200,180,148,137,126,124,102,90,84,80,70,58,56,54,51,50,48,44,32,31,18,14,13,10,8,7,5,4,4,4,4,3,2,2,2,2,2,1,1,1,1,1|333715
decixmad|6939,13786,35280,39386,34549,12430,47787,39020,36236,32934,16276,2635,57695,25091,49544|289709,28063,8308,867,747,100,54,45,41,32,20,16,9,2,1|328014
decixnyc|6939,13786,52320,35280,20764,34549,8359,263444,8966,53264,22356,3303,50629,39386,396356,32934,2635,12883,52777,28202,6079,50304,49544,14061,25091,23393|373068,26370,15253,8259,3536,3496,1296,1032,839,594,427,204,121,68,52,38,32,18,18,16,12,12,5,4,2,1|434773
bcix|6939,13237,50629,48173,204786,32934,199284|393021,5824,117,72,72,32,31|399169
netnodstocb|6939,20764,12552,31027,3303,24482,16086,2635,32934,36351,12996,49544,24940,63927,12496|435050,91825,1476,780,612,190,56,20,16,10,5,5,3,3,2|530053
