ixbr|6939,37468,61832,28368,263009,53087,267469,53181,263444,28158,268976,263073,264297,262669,53065,28173,268696,52696,36236,265144,28343,52579,262360,7195,262317,28573,28642,61589,265269,269096,266551,52655,266414,264872,263327,28178,265187,61591,262983,28201,28244,262847,267016,265937,263124,52742,53115,262973,267203,264186,267619,268235,264162,262773,268982,264293,266037,16552,61580,262760,264367,265936,53202,265188,28008,53089,263649,53019,262765,28126,262287,262288,262302,266460,262403,262493,262777,52980,268895,262632,262808,268106,268920,52637,52795,263906,28165,28202,262659,263394,268207,52944,57695,61584,264552,264595,28263,60068,262734,262966,264500,266131,262355,268267,52689,268817,52694,52817,262742,265080,267201,22356,28124,28329,28634,61751,61785,262828,263089,264863,266275,266995,268732,269351,61595,262900,264228,265438,266388,267299,28125,28225,52935,53075,53096,262420,262675,262794,263934,264461,264992,266022,266322,267470,269385,270285,35280,53070,264460,265274,267649,268581,269033,270594,23106,262819,263415,264397,265141,268192,268344,268478,28571,28654,52777,61568,263445,263586,263985,263990,264949,266360,266448,268243,268311,268645,268795,270522,28191,28272,52320,52848,52988,53143,61704,61823,61890,262409,262589,262740,263055,263405,263569,263641,263998,265098,266003,267009,267522,268359,268538,268561,15133,52545,52580,52888,61764,262732,262901,263290,263528,265158,265369,265914,266143,266610,267326,267585,268126,268345|337344,18207,2310,1977,941,911,836,614,482,441,322,312,312,210,194,186,164,155,152,145,144,124,120,110,110,108,105,102,98,91,90,78,66,65,64,63,59,54,54,45,44,44,44,42,39,36,36,36,36,34,32,32,31,30,30,29,29,28,28,28,28,28,26,26,25,25,24,23,23,22,22,22,21,21,20,20,20,19,19,18,18,18,18,17,17,17,16,16,16,16,16,14,14,14,14,13,12,12,12,12,12,12,11,11,10,10,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1|369946
decix|6939,20764,20485,13786,57463,35280,29076,13237,50384,28917,24482,12713,3303,263009,53264,22356,3462,24961,59605,53180,2914,50629,55818,200612,50581,5413,36236,25291,265269,12779,31027,8422,2635,48362,34224,8647,13249,34309,63927,8932,9381,9031,47622,15598,48918,8648,48166,30844,559,9136,30781,48200,56665,39122,25160,39702,5539,14061,20811,3214,39912,208722,34549,44020,199284,12732,8893,37271,20473,28202,47626,57695,12577,41114,137409,34872,206892,59624,207701,12731,13124,24724,38193,49544,62275,3216,24940,34927,6735,59947,15743,35661,20676,9498,25091,38195,198290,16024,12531,20647,47147,59890,61832|290178,84816,20322,13986,7175,7141,5990,4520,3585,2499,1140,1100,748,736,630,511,500,495,492,440,416,218,190,187,165,160,157,150,141,140,121,108,92,80,78,72,66,62,56,46,45,40,40,38,38,34,32,28,26,26,24,22,22,21,21,20,20,20,20,18,17,17,16,16,14,12,10,10,8,8,8,8,7,6,5,5,5,5,4,4,4,4,4,4,4,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1|450500
linx|6939,13786,57463,35280,37468,4134,3216,24482,9505,36236,263009,39533,36351,3303,18106,8896,34309,63927,6774,3170,12779,8473,50629,47622,2635,32934,9116,58511,9381,31500,49544,16552,8932,25160,20764,47638,30781,29017,57695,59624,20473,35826,31708,30931,50245,6894,34549,14061,39537,12969,42044,43404,25061,12931,24940,38195,44684|391544,31212,20652,7852,5231,4080,2823,2204,935,925,874,601,393,272,270,138,128,120,116,116,112,108,99,86,78,72,54,50,49,32,30,28,23,21,18,15,14,14,14,10,9,9,8,8,7,6,6,4,3,3,3,3,2,2,1,1,1|471489
amsix|6939,52320,37468,13786,57463,24961,13237,28598,35280,12552,8359,34549,42861,263009,55818,3303,64049,36236,24482,50581,15576,1764,8732,31027,50384,2635,35000,15967,48362,29208,9381,47622,8368,39351,8953,56665,50629,16097,8647,56630,559,199524,8932,8262,49544,59947,41913,13101,14061,29791,196844,12496,51468,8462,199408,20764,5404,54825,50673,62166|267088,15708,9726,7280,7146,5250,4779,3575,2752,2370,2244,2238,1728,924,903,335,278,250,208,180,140,137,126,125,112,106,90,86,80,70,58,56,51,51,48,44,32,31,18,14,13,10,8,7,5,4,4,4,4,3,2,2,2,2,2,1,1,1,1,1|336514
decixmad|6939,13786,35280,12479,39386,34549,12430,47787,36236,39020,32934,16276,2635,57695,25091,49544|289912,30476,8260,4676,872,723,100,54,41,40,32,20,16,9,2,1|335234
decixnyc|6939,13786,52320,35280,20764,34549,8359,263444,8966,53264,22356,3303,50629,39386,396356,32934,2635,12883,28202,6079,50304,52777,49544,14061,25091,23393,9498|372555,27540,13512,8211,3480,3316,1284,1092,839,594,507,204,124,68,52,38,28,18,16,12,12,9,5,4,2,1,1|433524
bcix|6939,13237,50629,48173,204786,32934,199284|394101,5824,146,72,72,32,31|400278
netnodstocb|6939,20764,12552,31027,3303,24482,16086,2635,32934,36351,12996,49544,24940,63927,12496|435800,91324,1476,780,612,232,48,24,16,10,5,5,3,3,2|530340
