ixbr|6939,37468,61832,28368,52320,263009,28158,53087,267469,53181,268976,263444,263073,28343,28173,262669,53065,262360,52696,268696,28642,36236,28573,262317,263327,52579,265269,7195,61589,269096,52655,262973,264186,266414,264872,28178,53115,61591,262983,28008,14868,262773,28201,28244,267016,265187,263124,268235,52742,262288,266131,265937,262659,264162,267619,264293,13786,268982,266037,16552,61580,262302,262760,264367,265936,28165,53019,262474,265188,53089,262808,265144,262493,262765,28126,28329,262287,263144,263649,52980,265442,266460,16397,28171,262403,262777,262734,268920,52637,52795,28202,263906,266995,268207,52944,57695,61584,264552,266388,28263,60068,262420,262966,264500,268267,61568,266551,23106,262355,268817,28598,28634,52694,52817,262632,262742,264479,265080,266322,267201,28124,52689,61785,262828,263089,264863,266275,268732,269351,262900,264228,267299,267429,28125,28225,52935,53075,53096,53152,262675,262794,263405,263934,264461,265274,266022,267470,269385,270285,35280,53070,57463,262428,263415,263998,266003,267649,269033,270594,22356,28191,28323,61751,262901,263055,263267,263445,263661,264397,264460,265141,267368,268344,268478,268581,28571,28654,52777,263586,263985,263990,264949,264992,266448,268243,268311,268645,268795,270522,15133,28272,52848,52988,53143,61704,61823,61890,262409,262589,262740,262819,263569,263641,265098,267009,267522,268359,268538,268561,270340,10733,52545,52580,52888,61764,263290,263528,265158,265369,265914,266143,266610,267585,268126,268345|325773,21513,2349,1962,1546,938,895,895,760,626,530,460,324,284,259,210,206,195,160,160,153,152,108,108,103,102,98,97,95,86,78,75,68,66,65,60,57,54,54,52,51,49,45,44,44,43,41,38,36,36,36,34,32,32,32,31,30,30,29,28,28,28,28,28,28,26,26,26,26,25,24,24,23,23,22,22,22,22,22,21,21,21,20,20,20,20,18,18,17,17,16,16,16,16,14,14,14,14,14,12,12,12,12,12,12,11,11,10,10,10,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1|363960
decix|6939,20764,20485,13786,57463,35280,29076,13237,50384,28917,12713,24482,24961,3303,53264,29226,53180,3462,22356,59605,2914,263009,50629,55818,200612,50581,5413,36236,25291,12779,31027,8422,9318,265269,2635,3214,48362,34224,63927,13249,34309,8647,9381,9031,48918,8932,47622,8648,15598,48166,30844,48200,9136,559,25160,39702,56665,5539,14061,39912,34549,44020,199284,12732,206892,8893,20811,30781,137409,37271,20473,28202,47626,57695,12577,41114,34872,59624,207701,12731,13124,24724,38193,49544,62275,3216,35661,24940,34927,6735,59947,15743,25091,198290,16024,12531,20647,33986,59890,61832|247446,83638,19854,12096,7737,7269,5918,4360,3799,2440,1155,1140,712,680,646,533,530,504,491,490,468,255,218,190,187,165,160,157,152,140,124,108,96,94,92,88,80,78,78,66,64,52,46,40,38,36,36,33,32,32,29,29,28,24,24,22,22,20,20,17,16,16,14,12,10,10,10,10,9,9,8,8,8,8,6,6,5,5,4,4,4,4,4,4,4,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1|405303
linx|6939,13786,57463,35280,37468,4134,3216,24482,36236,37100,9505,36351,263009,3303,18106,63927,34309,3170,8896,12779,8473,50629,6774,2635,47622,32934,9116,9381,58511,31500,49544,16552,20764,25160,8932,29017,47638,20473,56665,59624,6894,35826,31708,50245,30931,34549,14061,39537,12969,42044,43404,25061,12931,328303,24940,44684|389072,30834,18882,8086,5541,4013,2779,2320,1171,1166,863,524,342,272,270,160,128,121,120,112,110,100,98,86,82,72,54,50,50,35,30,28,25,24,21,21,15,11,11,10,9,9,8,7,6,6,4,3,3,3,3,2,2,1,1,1|467777
amsix|6939,37468,13786,38082,24961,57463,13237,28598,35280,12552,8359,34549,42861,55818,263009,3303,24482,64049,36236,50581,15576,36351,1764,31027,8732,2635,50384,35000,15967,48362,29208,9381,8368,9318,8953,56665,47622,16097,50629,39351,8647,56630,199524,20473,8932,60294,8262,13101,49544,59947,41913,14061,29791,196844,51468,8462,47147,20764,5404,54825,50673,199408,62166|282688,13241,10676,5925,5724,5690,4844,3900,2967,2673,2295,2198,1530,924,396,335,265,262,250,180,172,152,141,125,119,118,112,90,85,80,68,54,51,49,48,48,46,32,32,32,18,14,13,10,8,8,6,6,5,4,4,4,3,2,2,2,1,1,1,1,1,1,1|348733
decixmad|6939,13786,35280,12479,39386,34549,12430,47787,36236,32934,16276,2635,57695,25091,49544|289058,30647,8164,4753,881,710,92,54,49,32,20,16,9,2,1|334488
decixnyc|6939,13786,52320,35280,20764,34549,8359,263444,8966,53264,22356,3303,50629,396356,32934,2635,21385,14340,28202,50304,6079,49544,14061,25091,23393|371772,26741,14130,8355,3487,3336,1406,1044,839,608,491,204,136,40,38,28,18,15,14,12,11,5,4,2,1|432737
bcix|6939,13237,50629,48173,204786,32934,199284|390420,5668,158,72,72,32,31|396453
netnodstocb|6939,20764,12552,31027,3303,24482,16086,2635,32934,36351,12996,49544,24940,63927,12496|433560,93086,1750,792,612,232,48,24,16,10,5,5,3,3,2|530148
